timestamp,RPM,SPEED,COOLANT_TEMP,ENGINE_LOAD,THROTTLE_POS,INTAKE_TEMP,MAF,FUEL_PRESSURE,TIMING_ADVANCE,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,O2_B1S1,FUEL_STATUS,RUN_TIME,DISTANCE_W_MIL,BAROMETRIC_PRESSURE,CONTROL_MODULE_VOLTAGE,AMBIENT_AIR_TEMP,FUEL_LEVEL
2024-06-15T07:30:00.000,142.7,0,23.15,2.96,2.34,20.99,0.5,362.61,10.83,1.22,0.47,0.41,2,0.0,0,100.87,14.16,21.08,71.2
2024-06-15T07:30:00.250,314.28,0.06,23.299999999999997,8.61,4.97,22.05,0.5,364.03,11.57,1.71,0.45,0.9,2,0.2,0,100.96,14.22,21.0,71.2
2024-06-15T07:30:00.500,461.77,0,23.449999999999996,11.25,7.41,21.31,0.51,367.45,12.3,1.27,0.46,0.51,2,0.5,0,101.02,14.16,21.04,71.2
2024-06-15T07:30:00.750,565.21,0,23.599999999999994,13.38,8.02,20.82,0.87,369.9,13.31,1.08,0.39,0.1,2,0.8,0,101.02,14.25,20.95,71.2
2024-06-15T07:30:01.000,701.25,0.09,23.749999999999993,14.13,9.32,21.33,1.28,372.52,12.9,-2.25,0.6,0.52,2,1.0,0,101.13,14.16,20.98,71.2
2024-06-15T07:30:01.250,761.6,1.36,23.89999999999999,17.16,10.24,21.58,1.72,370.62,13.58,0.39,0.69,0.86,2,1.2,0,101.2,14.1,21.07,71.2
2024-06-15T07:30:01.500,821.91,2.34,24.04999999999999,17.32,12.31,22.29,1.71,368.76,14.06,-3.59,0.76,0.53,2,1.5,0,101.05,14.11,20.91,71.2
2024-06-15T07:30:01.750,892.43,1.14,24.19999999999999,19.22,12.05,21.99,2.54,371.7,14.02,1.04,0.65,0.11,2,1.8,0,101.02,14.03,21.07,71.2
2024-06-15T07:30:02.000,958.46,2.02,24.349999999999987,22.53,13.26,22.35,2.59,380.68,12.61,1.71,0.54,0.53,2,2.0,0,100.89,14.0,20.9,71.2
2024-06-15T07:30:02.250,1007.75,1.75,24.499999999999986,20.82,13.15,22.09,1.81,374.24,14.24,0.35,0.53,0.9,2,2.2,0,101.04,14.07,21.12,71.2
2024-06-15T07:30:02.500,1013.61,2.12,24.649999999999984,23.74,14.98,22.14,2.75,378.11,13.65,0.29,0.65,0.43,2,2.5,0,101.19,14.24,21.12,71.2
2024-06-15T07:30:02.750,1016.95,1.28,24.799999999999983,21.78,13.72,22.24,2.87,381.99,15.72,3.2,0.53,0.14,2,2.8,0,101.13,14.17,20.99,71.2
2024-06-15T07:30:03.000,1045.6,1.47,24.94999999999998,20.9,15.36,22.3,2.55,382.24,14.8,0.15,0.59,0.51,2,3.0,0,101.08,14.1,21.03,71.2
2024-06-15T07:30:03.250,1023.52,1.98,25.09999999999998,21.19,15.34,21.22,2.63,381.01,14.43,1.95,0.69,0.88,2,3.2,0,101.02,14.0,20.97,71.2
2024-06-15T07:30:03.500,1006.7,1.69,25.24999999999998,23.65,15.8,21.95,3.01,379.59,14.6,-2.46,0.61,0.49,2,3.5,0,100.91,14.02,20.96,71.2
2024-06-15T07:30:03.750,1036.92,2.58,25.399999999999977,22.36,17.66,21.37,2.41,380.06,13.9,0.96,0.57,0.17,2,3.8,0,101.09,14.07,21.0,71.2
2024-06-15T07:30:04.000,1055.4,2.8,25.549999999999976,24.29,15.66,22.27,3.19,380.56,15.32,-1.11,0.52,0.5,2,4.0,0,100.92,14.04,21.07,71.2
2024-06-15T07:30:04.250,1095.82,3.27,25.699999999999974,24.09,16.55,21.82,3.31,379.77,14.33,-0.62,0.74,0.87,2,4.2,0,101.0,14.11,21.04,71.2
2024-06-15T07:30:04.500,1079.91,1.85,25.849999999999973,24.14,15.76,21.65,2.55,380.76,14.53,-1.56,0.84,0.45,2,4.5,0,100.92,14.11,21.04,71.2
2024-06-15T07:30:04.750,1107.09,3.23,25.99999999999997,22.7,14.36,21.74,3.54,376.31,16.18,1.34,0.78,0.16,2,4.8,0,100.98,14.15,21.13,71.2
