timestamp,RPM,SPEED,COOLANT_TEMP,ENGINE_LOAD,THROTTLE_POS,INTAKE_TEMP,MAF,FUEL_PRESSURE,TIMING_ADVANCE,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,O2_B1S1,FUEL_STATUS,RUN_TIME,DISTANCE_W_MIL,BAROMETRIC_PRESSURE,CONTROL_MODULE_VOLTAGE,AMBIENT_AIR_TEMP,FUEL_LEVEL
2024-06-15T07:30:00.000,158.55,0,23.72,0.39,2.9,23.12,0.5,348.28,11.29,-2.16,4.86,0.55,2,0.0,85.0,101.16,13.88,19.91,70.8
2024-06-15T07:30:00.250,307.56,0.6,23.87,2.8,5.75,21.25,0.5,351.92,10.02,-2.44,5.0,0.78,2,0.2,85.0,101.07,14.13,20.06,70.8
2024-06-15T07:30:00.500,452.89,0.17,23.68,0.31,8.91,22.24,0.5,339.71,14.83,-5.5,4.85,0.6,2,0.5,85.0,100.92,14.18,20.05,70.8
2024-06-15T07:30:00.750,551.55,0.0,23.77,5.32,9.07,22.52,0.51,351.46,12.17,-5.01,4.88,0.1,2,0.8,85.0,101.11,13.82,19.86,70.8
2024-06-15T07:30:01.000,603.37,0.77,23.46,6.74,11.07,21.23,0.5,350.86,11.37,-3.57,4.79,0.48,2,1.0,85.0,100.99,14.06,20.02,70.8
2024-06-15T07:30:01.250,656.71,1.1,23.49,9.21,11.64,22.59,0.71,355.5,13.01,-4.69,4.73,0.8,2,1.2,85.0,101.22,14.1,20.04,70.8
2024-06-15T07:30:01.500,764.44,1.61,23.28,12.69,12.3,22.31,1.45,362.5,14.05,-5.37,4.8,0.57,2,1.5,85.0,101.2,14.0,20.14,70.8
2024-06-15T07:30:01.750,764.68,1.57,23.62,14.3,11.39,21.4,1.88,360.13,15.99,-2.95,4.86,0.11,2,1.8,85.0,101.04,13.88,20.08,70.8
2024-06-15T07:30:02.000,826.82,1.24,23.83,15.67,14.54,23.35,1.41,364.77,14.0,-0.1,5.03,0.44,2,2.0,85.0,101.09,13.89,19.97,70.8
2024-06-15T07:30:02.250,913.33,0.89,24.19,21.51,15.03,22.34,1.87,369.17,10.9,-1.45,4.84,0.78,2,2.2,85.0,101.03,14.02,19.91,70.8
2024-06-15T07:30:02.500,955.29,1.53,24.28,21.04,12.98,22.29,3.11,366.9,13.26,-2.35,4.89,0.5,2,2.5,85.0,101.1,13.82,19.97,70.8
2024-06-15T07:30:02.750,1000.37,1.39,24.03,21.7,12.86,23.15,2.26,366.43,14.61,-3.63,4.76,0.14,2,2.8,85.0,101.19,13.99,19.92,70.8
2024-06-15T07:30:03.000,1051.41,1.47,24.64,21.46,11.74,21.9,2.66,364.3,14.08,-4.6,4.83,0.49,2,3.0,85.0,101.22,13.83,19.9,70.8
2024-06-15T07:30:03.250,1008.84,1.51,24.95,22.72,11.48,22.75,2.51,371.73,13.87,-4.65,4.92,0.81,2,3.2,85.0,101.0,13.9,20.0,70.8
2024-06-15T07:30:03.500,1034.16,2.41,24.08,25.26,13.02,21.87,3.63,374.7,12.0,-6.21,5.18,0.54,2,3.5,85.0,100.92,13.91,19.98,70.8
2024-06-15T07:30:03.750,1020.98,2.08,23.23,26.32,12.5,22.51,3.67,367.45,15.78,-4.95,5.27,0.13,2,3.8,85.0,100.98,14.07,19.94,70.8
2024-06-15T07:30:04.000,1006.2,2.16,23.76,30.78,13.21,21.86,3.78,385.81,13.57,-5.46,5.38,0.48,2,4.0,85.0,100.89,14.05,20.14,70.8
2024-06-15T07:30:04.250,1012.83,2.1,24.32,28.0,12.72,22.9,3.75,369.59,12.35,-10.44,5.31,0.85,2,4.2,85.0,100.94,14.05,20.19,70.8
2024-06-15T07:30:04.500,1024.19,1.61,24.7,25.86,12.66,22.89,2.74,367.58,14.49,-0.73,5.04,0.41,2,4.5,85.0,101.22,13.9,20.2,70.8
2024-06-15T07:30:04.750,1064.18,1.6,24.18,27.42,14.11,22.26,3.5,380.58,11.68,-4.48,5.16,0.19,2,4.8,85.0,101.18,14.0,19.91,70.8
2024-06-15T07:30:05.000,1066.86,1.31,24.96,28.27,14.66,23.01,3.62,378.13,12.9,-7.12,5.21,0.51,2,5.0,85.0,101.22,13.95,20.16,70.8
